	A0_1	A0_2	A0_3	A24_1	A24_2	A24_3	A6_1	A6_2	A6_3	T0_1	T0_2	T0_3	T24_1	T24_2	T24_3	T6_1	T6_2	T6_3
ENSG00000000003	1316	1805	1376	935	1209	1520	967	1962	2975	1087	1957	935	2497	2928	2219	1756	2012	1605
ENSG00000000005	0	0	0	0	0	0	0	4	7	9	10	9	7	11	6	10	9	2
ENSG00000000419	858	986	897	708	854	1041	701	1887	2723	893	1270	862	974	1402	908	2115	1792	1404
ENSG00000000457	185	314	218	168	204	254	137	356	355	579	1372	336	359	356	320	309	334	229
ENSG00000000460	337	492	333	361	513	602	374	1017	1011	404	987	215	973	958	953	821	1007	752
ENSG00000000938	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
ENSG00000000971	2678	3854	2502	2228	3349	3977	1654	6	2127	0	3	2	8	6	8	2	0	3
ENSG00000001036	1472	2037	1574	1388	1612	1957	1133	2649	3326	1841	3114	1053	3242	3505	2796	2509	2452	1950
ENSG00000001084	3696	5710	4284	2800	3764	4507	1906	1773	3512	406	907	235	943	914	877	1703	1620	1122
ENSG00000001167	389	610	395	380	510	697	472	1626	1316	547	1346	278	1147	969	1191	1390	1531	990
ENSG00000001460	140	187	133	119	139	163	101	301	312	228	572	95	423	442	423	234	258	210
ENSG00000001461	321	593	408	248	328	454	216	955	665	687	1945	302	970	858	891	706	816	600
ENSG00000001497	1363	1978	1475	1722	2080	2319	1258	2591	2852	1086	2331	685	2583	2621	2249	2181	2375	1711
ENSG00000001561	92	101	77	51	79	102	69	866	609	424	1001	241	666	721	708	709	734	496
ENSG00000001617	118	207	173	160	161	223	164	164	278	54	158	28	284	270	257	136	111	96
ENSG00000001626	8	13	11	4	19	11	0	0	1	1	2	0	0	0	0	0	0	0
ENSG00000001629	1313	2199	1340	1125	1723	1968	1317	927	1900	652	1911	308	1007	912	908	772	824	575
ENSG00000001630	151	289	179	83	88	103	117	92	168	63	183	24	126	134	107	102	113	96
ENSG00000001631	105	191	129	104	147	137	98	274	301	193	329	112	276	295	259	282	250	223
ENSG00000002016	163	290	192	194	229	265	195	292	381	22	56	6	290	282	280	185	275	199
ENSG00000002079	3	8	7	6	11	9	3	1	5	0	1	0	0	1	1	2	0	0
ENSG00000002330	492	754	679	579	533	742	482	522	1228	471	590	519	724	931	589	628	496	432
ENSG00000002549	594	905	700	627	699	907	534	1973	1862	1016	1924	695	1757	1982	1492	1870	1769	1335
ENSG00000002586	2390	3506	2974	2046	2268	2674	1826	1915	3930	1621	2435	1058	2710	3437	2269	1812	1733	1569
ENSG00000002587	75	109	96	65	81	137	57	0	82	0	0	0	0	0	0	0	0	0
ENSG00000002726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
